"precov","essl","comb.1","comb.2"
199,16.91,154.34,53.68
199,10.64,135.59,50.35
199,10.2,133.75,37.05
199,9.18,150.66,47.08
199,8.2,142.23,35.41
199,9.97,145.05,47.51
199,15.84,137.39,54.08
199,10.52,155.34,53.91
199,21.16,158.03,59.13
199,10.19,152.01,39.55
199,11.66,135.09,41.03
199,21.2,147.52,63.22
199,11.21,152.53,43.12
199,6.54,148.4,41.32
199,21.63,144.22,59.79
199,3.48,143.43,23.91
199,16.18,146.93,49.1
199,14.41,137.42,43.7
199,4.9,145.03,30.7
199,6.69,129.42,38.76
199,3.96,142.36,27.25
199,15.12,145.11,45.41
199,9.11,155.02,39.31
199,13.93,149.25,51.74
199,7.62,132.25,32.98
199,9.29,132.6,47.26
199,13.36,142.59,42.74
199,9.45,140.92,37.74
199,8.74,154.61,41.14
199,9.75,153.01,48.89
199,13.92,151.59,61.89
199,21.01,134.4,56.47
199,16.27,139.53,59.14
199,16.68,159.3,49.4
199,27.73,147.42,65.37
199,15.47,153.78,61.78
199,24.29,156.07,83.29
199,13.35,173.99,53.45
199,16.26,146.49,49.47
199,3.46,145.47,19.53
199,13.94,177.49,51.81
199,6.35,119.75,34.59
199,7.53,136.62,34.83
199,17.88,119.02,57.26
199,12.26,152.89,58.37
199,15.56,138.52,49.93
199,10.18,138.24,39.26
199,11.17,146.56,38.04
199,9.32,143.63,47.22
199,12.11,152.18,47.9
199,20.92,164.29,67.94
199,8.93,138.95,39.84
199,11.24,121.42,48.76
199,16.78,153.88,53.79
199,11.18,150.15,33.79
199,25.33,161.56,65.06
199,13.46,145.32,56.95
199,23.63,147.67,57.46
199,7.35,132.73,48.47
199,15.12,158.32,46.36
199,9.73,158.23,41.35
199,6.12,144.32,32.57
199,8.27,138.43,36.01
199,20.83,149.51,58.74
199,20.44,138.91,61.85
199,13.59,149.39,52.49
199,7.25,150.79,37.59
199,10.8,136.48,49.35
199,11.1,145.62,40.53
199,8.75,146.15,43.88
199,22.38,152.53,72.72
199,13.6,137.51,47.62
199,28.43,156.01,71.96
199,20.83,136.05,59.18
199,9.25,147.59,47.3
199,24.27,161.82,63.1
199,7.8,119.22,29.72
199,21.8,160.79,58.59
199,14.67,138.25,45.96
199,3.99,143.13,33.29
199,13.24,159.66,56.66
199,12.55,135.89,49.37
199,22.87,151.66,65.63
199,21.64,131.47,61.76
199,13.45,130.89,43.64
199,14.63,151.16,51.14
199,18.63,148.25,57.16
199,10.39,144.76,40.44
199,7.97,137.3,40.61
199,9.09,151.75,45.48
199,13.65,145.25,47.46
199,16.19,150.88,61.83
199,11.6,168.75,52.42
199,17.24,135.78,51.68
199,13.93,143.87,48.41
199,7.51,141.16,42.55
199,16.1,129.7,59.12
199,5.93,147.53,32.2
199,8.13,152.76,36.53
199,18.89,151.69,56.29
